systemId,bioFr,parentSystemId,color,level,displayName,active,racineSystemId,sotsGlobalScore,unlockLevel,rarityTier,sotsRecent30Score,totalVotes,domainKey,id,created_date,updated_date,created_by_id,is_sample
"ST-000039","","ST-000006","","3","UK Hardcore & Freeform / Trancecore & Acidcore","true","ST-000001","0","19","legendary","0","0","music","69b8134c77c81ce104b024ac","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000040","","ST-000007","","3","Uplifting Trance / Epic Trance","true","ST-000001","0","21","legendary","0","0","music","69b8134c77c81ce104b024ad","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000041","","ST-000007","","3","Neo-Trance","true","ST-000001","0","6","rare","0","0","music","69b8134c77c81ce104b024ae","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000019","","ST-000002","#85272E","3","Chicago House & Garage House","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024af","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000020","","ST-000002","#85272E","3","Acid House","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024b0","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000021","","ST-000002","#85272E","3","Ambient House / Chill-Out","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024b1","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000022","","ST-000002","#85272E","3","Hip House & Eurodance","true","ST-000001","0","4","rare","0","0","music","69b8134c77c81ce104b024b2","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000023","","ST-000002","#85272E","3","Deep House","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024b3","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000024","","ST-000002","#85272E","3","Ibiza House & Dream House","true","ST-000001","0","4","rare","0","0","music","69b8134c77c81ce104b024b4","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000025","","ST-000002","#85272E","3","Progressive House","true","ST-000001","0","7","rare","0","0","music","69b8134c77c81ce104b024b5","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000026","","ST-000007","#85272E","3","NRG, Hard NRG & (UK) Hard House","true","ST-000001","0","6","rare","0","0","music","69b8134c77c81ce104b024b6","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000027","","ST-000002","#85272E","3","French House & Funky House","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024b7","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000028","","ST-000002","#85272E","3","Microhouse / Minimal House","true","ST-000001","0","5","rare","0","0","music","69b8134c77c81ce104b024b8","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000029","","ST-000002","#85272E","3","Electro House & Dutch House","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024b9","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000030","","ST-000002","#85272E","3","Fidget House & Complextro","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024ba","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000031","","ST-000002","#85272E","3","Nu Disco & Funktronica","true","ST-000001","0","6","rare","0","0","music","69b8134c77c81ce104b024bb","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000032","","ST-000002","#85272E","3","Moombahton","true","ST-000001","0","5","rare","0","0","music","69b8134c77c81ce104b024bc","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000009","","ST-000006","","3","New Beat","true","ST-000001","0","6","rare","0","0","music","69b8134c77c81ce104b024bd","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000011","","ST-000003","","3","(Free)Tek(k)no / Hardtek","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024be","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000012","","ST-000003","","3","Ambient Techno & IDM (Intelligent Dance Music)","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024bf","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000013","","ST-000003","","3","Industrial Techno & Schranz","true","ST-000001","0","4","rare","0","0","music","69b8134c77c81ce104b024c0","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000014","","ST-000003","","3","Minimal Techno","true","ST-000001","0","5","rare","0","0","music","69b8134c77c81ce104b024c1","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000015","","ST-000003","","3","Tech House","true","ST-000001","0","13","epic","0","0","music","69b8134c77c81ce104b024c2","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000016","","ST-000003","","3","Tech Trance","true","ST-000001","0","14","epic","0","0","music","69b8134c77c81ce104b024c3","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000017","","ST-000003","","3","Hardtechno (Schranz)","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024c4","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000018","","ST-000002","","3","Ghetto House, Ghettotech & Juke","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024c5","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000008","","ST-000003","","3","Detroit Techno","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b024c6","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000007","","ST-000001","","2","Trance","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024c7","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000006","","ST-000001","","2","Hard-core","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024c8","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000005","","ST-000001","","2","Drum'n'Bass","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024c9","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000004","Break-beat","ST-000001","85272e","2","Break-beat","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b024ca","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
