sourceId,culturalMomentId,checkpointSystemId,sourceTable,recordedAt,signalType,signalValue,id,created_date,updated_date,created_by_id,is_sample
"NC-0000000105","69cd62e0f39a30529ee944e8","NC-0000000105","CheckpointLiveStats","2026-04-01T20:26:50.117Z","session_confirmed","1","69cd7f8a1dc0bbb3c0ddb025","2026-04-01T20:26:50.818000","2026-04-01T20:26:50.818000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000105","69cd62e0f39a30529ee944e8","NC-0000000105","CheckpointLiveStats","2026-04-01T19:26:49.995Z","session_confirmed","1","69cd717a5579062e97b9d8d9","2026-04-01T19:26:50.920000","2026-04-01T19:26:50.920000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000035","69cd391c5aa567d23f49c016","NC-0000000035","CheckpointLiveStats","2026-04-01T18:26:50.140Z","session_confirmed","1","69cd636a5d51e9e27b8c7f9d","2026-04-01T18:26:50.814000","2026-04-01T18:26:50.814000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
"NC-0000000035","69cd391c5aa567d23f49c016","NC-0000000035","CheckpointLiveStats","2026-04-01T18:25:35.341Z","session_confirmed","1","69cd6320b542bb560def3a66","2026-04-01T18:25:36.575000","2026-04-01T18:25:36.575000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000105","69cd62e0f39a30529ee944e8","NC-0000000105","CheckpointLiveStats","2026-04-01T18:25:35.341Z","session_opened","24","69cd63209ac1216b87de0c38","2026-04-01T18:25:36.042000","2026-04-01T18:25:36.042000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000105","69cd62e0f39a30529ee944e8","NC-0000000105","CheckpointLiveStats","2026-04-01T18:25:35.341Z","session_confirmed","1","69cd63209ac1216b87de0c37","2026-04-01T18:25:36.042000","2026-04-01T18:25:36.042000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69cd62c7daee92338a6b06e6","69cd62e0f39a30529ee944e8","NC-0000000105","Session","2026-04-01T18:25:01.502Z","session_confirmed","1","69cd62fd8dc50f728e27f854","2026-04-01T18:25:01.875000","2026-04-01T18:25:01.875000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69cd62c7daee92338a6b06e6","69cd62e0f39a30529ee944e8","NC-0000000105","Session","2026-04-01T18:24:31.660Z","session_opened","1","69cd62e0d45b127812d2a19f","2026-04-01T18:24:32.460000","2026-04-01T18:24:32.460000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000035","69cd391c5aa567d23f49c016","NC-0000000035","CheckpointLiveStats","2026-04-01T17:01:49.248Z","session_confirmed","1","69cd4f7d74994441a93c255c","2026-04-01T17:01:49.983000","2026-04-01T17:01:49.983000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69cd38b16a350b03c1ad514d","69cd391c5aa567d23f49c016","NC-0000000035","Session","2026-04-01T15:27:29.710Z","session_confirmed","1","69cd396204608ecdadef1296","2026-04-01T15:27:30.114000","2026-04-01T15:27:30.114000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"69cd38b16a350b03c1ad514d","69cd391c5aa567d23f49c016","NC-0000000035","Session","2026-04-01T15:26:19.941Z","session_opened","1","69cd391c7a584368153433c5","2026-04-01T15:26:20.640000","2026-04-01T15:26:20.640000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"NC-0000000156","69cb935aa220500dbb6d1fb0","NC-0000000156","CheckpointLiveStats","2026-03-31T09:26:50.280Z","session_confirmed","1","69cb935a90bf45bf383a663b","2026-03-31T09:26:50.897000","2026-03-31T09:26:50.897000","service_20f63310-1e7c-45d0-b0d5-32d80f7be796","false"
