displayName,stripeConnectOnboardingStatus,bio,referrerCode,cosmeticXp,activeRoles,primaryStyleSystemIds,badgeSlots,trustScore,verifiedRevenueTotal,activeCheckpoints,sotsRecent30Score,leagueSlots,referralCode,primaryCheckpointId,cosmeticBadges,pricingBase,styleWeights,referrerId,avatarUrl,sotsGlobalScore,userId,xpGlobal,activeDomains,stripeConnectAccountId,earnedRoles,activeStyles,id,created_date,updated_date,created_by_id,is_sample
"ELZZIE","","","1NBZTIWK","0","[""RL-000008""]","[]","","0","0","[]","0","","","","[]","","{""ST-000015"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1775058375/microrave/avatars/jncoohlnpegaedi5ghqp.png","0","699cfc45fae147a8797a069c","0","[""music""]","","","[""ST-000015""]","69a8b9db233a41177710639f","2026-03-04T23:01:47.621000","2026-04-02T00:36:57.667000","699cfc45fae147a8797a069c","false"
"Sébastien Gratton-Leclaire (Sebezar)","not_started","","1NBZTIWK","0","[""RL-000010""]","[]","","0","0","[""NC-0000000048""]","4.8","","","","[]","","{""ST-000200"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1775058443/microrave/avatars/cekxlgd6bmc5cjla6oyg.png","4.49","69a7d3cc06fc3b4f58109b29","0","[]","","[]","[""ST-000200""]","69a7d3f36e0a1dcd96f4a628","2026-03-04T06:40:51.543000","2026-04-17T00:21:59.817000","69a7d3cc06fc3b4f58109b29","false"
"Fro Less","active","","1NBZTIWK","205","[""RL-000008""]","[]","","0","0","[""NC-0000000153""]","3.19","","","","[""Explorer""]","{""hourlyRate"":125,""fixedRate"":500,""currency"":""CAD"",""notes"":null}","{""ST-000074"":50,""ST-000012"":50,""ST-000042"":50,""ST-000008"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1774915990/microrave/avatars/rzjhwjnqd24enyevpesc.jpg","3.25","698dc6f781b400b640a229f6","4420","[""music""]","acct_1TNvfkCs0i1k1Kmt","[""Vendeur""]","[""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008""]","69a795b2f75b790ba959de1b","2026-03-04T02:15:14.105000","2026-04-24T13:59:58.954000","698dc6f781b400b640a229f6","false"
"PUMPKIN","not_started","PUMPKIN est une DJ techno basée à Montréal, inspirée par la hard techno, l’acid, la
melodic et des touches de psytrance.
À travers des sets intenses, bruts et émotionnels, elle cherche à créer une véritable
expérience immersive : un moment où l’on se perd, où l’on s’élève, et où l’on revient à
soi avec une nouvelle énergie.
Son approche est instinctive, spontanée et profondément authentique.
PUMPKIN transmet ce qu’elle ressent elle-même en mixant : frissons, montée,
puissance.
Elle souhaite partager son univers sur scène et connecter avec un public qui cherche
plus qu’une simple performance : une vibration.","1NBZTIWK","0","[""RL-000008""]","[]","","0","0","[]","0","","IU1EV56C","","[]","{""hourlyRate"":100,""fixedRate"":null,""currency"":""CAD"",""notes"":""Prix à discuter en fonction de l'événement, du lieux etc..""}","{""ST-000017"":50,""ST-000013"":50}","698c747aee05acfdd23ea578","","0","69a4b81bbabcabb1a90083b6","0","[]","","[]","[""ST-000017"",""ST-000013""]","69a775d7eac006957a2c5f7e","2026-03-03T23:59:19.464000","2026-04-14T13:32:24.507000","69a4b81bbabcabb1a90083b6","false"
"Kam","","videographe/photographe","MRAKRCFGR2","10","[""RL-000010""]","[]","","0","0","[""NC-0000000150"",""NC-0000000153"",""NC-0000000048"",""NC-0000000049"",""NC-0000000057"",""NC-0000000069"",""NC-0000000018"",""NC-0000000021"",""NC-0000000034"",""NC-0000000039"",""NC-0000000044"",""NC-0000000051"",""NC-0000000081"",""NC-0000000084"",""NC-0000000092"",""NC-0000000024"",""NC-0000000035"",""NC-0000000006"",""NC-0000000077"",""NC-0000000066"",""NC-0000000059"",""NC-0000000032"",""NC-0000000031"",""NC-0000000030"",""NC-0000000029"",""NC-0000000146"",""NC-0000000015"",""NC-0000000097"",""NC-0000000093"",""NC-0000000080"",""NC-0000000065"",""NC-0000000159"",""NC-0000000008"",""NC-0000000060"",""NC-0000000043"",""NC-0000000009"",""NC-0000000088"",""NC-0000000070"",""NC-0000000148"",""NC-0000000007"",""NC-0000000078"",""NC-0000000058"",""NC-0000000036"",""NC-0000000076"",""NC-0000000056"",""NC-0000000085"",""NC-0000000014"",""NC-0000000149"",""NC-0000000019"",""NC-0000000025""]","4.9","","OORV6PFJ","","[""Explorer""]","{""hourlyRate"":125,""fixedRate"":null,""currency"":""CAD"",""notes"":null}","{""ST-000219"":50,""ST-000218"":50,""ST-000217"":50,""ST-000215"":50,""ST-000216"":50,""ST-000214"":50,""ST-000213"":50,""ST-000209"":50,""ST-000210"":50,""ST-000211"":50,""ST-000212"":50,""ST-000204"":50,""ST-000205"":50,""ST-000206"":50,""ST-000207"":50,""ST-000208"":50,""ST-000202"":50,""ST-000203"":50,""ST-000200"":50,""ST-000201"":50}","69a3105457642cd985a208eb","","4.9","69a61f43b0417a586eff8791","0","[""video""]","","","[""ST-000219"",""ST-000218"",""ST-000217"",""ST-000215"",""ST-000216"",""ST-000214"",""ST-000213"",""ST-000209"",""ST-000210"",""ST-000211"",""ST-000212"",""ST-000204"",""ST-000205"",""ST-000206"",""ST-000207"",""ST-000208"",""ST-000202"",""ST-000203"",""ST-000200"",""ST-000201""]","69a61febe81faf9cbad1c25b","2026-03-02T23:40:27.811000","2026-04-02T13:49:28.951000","69a61f43b0417a586eff8791","false"
"Kirk Côté","","Entrepreneur en Markting, production vidéo et vente ","1NBZTIWK","10","[""RL-000010""]","[]","","0","0","[""NC-0000000149""]","3.6","","5UG1YNA7","","[""Explorer""]","","{""ST-000202"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1774919939/microrave/avatars/loqtiomobzjl1wjzrk5u.jpg","3.6","69a3105457642cd985a208eb","0","[]","","","[""ST-000202""]","69a310757b6e8e6a35e07e17","2026-02-28T15:57:41.342000","2026-04-02T00:38:43.562000","69a3105457642cd985a208eb","false"
"Keith Poitras","","Je fait des événements de réseautage entre entrepreneurs","1NBZTIWK","10","[""RL-000008""]","[]","","0","0","[""NC-0000000065"",""NC-0000000146"",""NC-0000000147"",""NC-0000000148""]","4.4","","1U4MJ51I","","[""Explorer""]","","{""ST-000092"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1774924484/microrave/avatars/wdaztdaaumetpacabqip.jpg","4.4","69a0f98dc601eab3812fc043","560","[""music""]","","","[""ST-000092""]","69a0f9ca1b22a866bfa16be4","2026-02-27T01:56:26.156000","2026-04-02T13:58:58.191000","69a0f98dc601eab3812fc043","false"
"fred g","active","","1NBZTIWK","65","[""RL-000008"",""RL-000025""]","[]","","0","0","[""NC-0000000018"",""NC-0000000021""]","2.48","","RT917ZPM","","[""Explorer""]","","{""ST-000100"":50,""ST-000098"":50,""ST-000097"":50,""ST-000103"":50,""ST-000102"":50,""ST-000118"":50,""ST-000119"":50,""ST-000104"":50,""ST-000105"":50,""ST-000099"":50,""ST-000166"":50,""ST-000167"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1776173820/microrave/avatars/y64b7pd2mqq2eqxr9etl.png","2.48","699c655e40e8dc98eacda675","1880","[""music"",""humour""]","acct_1TO7M7EPMmYk8UPo","[""Vendeur""]","[""ST-000100"",""ST-000098"",""ST-000097"",""ST-000103"",""ST-000102"",""ST-000118"",""ST-000119"",""ST-000104"",""ST-000105"",""ST-000099"",""ST-000166"",""ST-000167""]","699c877c46abc47df4cca8e7","2026-02-23T16:59:40.086000","2026-04-24T14:00:03.566000","699c655e40e8dc98eacda675","false"
"Olivier Lavoie Laroche","","","1NBZTIWK","0","[""RL-000008""]","[]","","0","0","[]","0","","S4WKUXGZ","","[]","","{""ST-000021"":50,""ST-000023"":50,""ST-000019"":50,""ST-000025"":50,""ST-000027"":50,""ST-000028"":50,""ST-000031"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1774920060/microrave/avatars/k77t3ygikrnldrkhn03w.jpg","0","699ba360cbfe486faa5ab707","0","[""music""]","","","[""ST-000021"",""ST-000023"",""ST-000019"",""ST-000025"",""ST-000027"",""ST-000028"",""ST-000031""]","699ba3be2c1d880ba285e2e7","2026-02-23T00:47:58.452000","2026-04-02T13:59:26.577000","699ba360cbfe486faa5ab707","false"
"data microrave","active","","1NBZTIWK","1195","[""RL-000008"",""RL-000010""]","[]","","0","0","[""NC-0000000146"",""NC-0000000149"",""NC-0000000152"",""NC-0000000150""]","3.72","","4QJH7KF6","","[""Explorer""]","{""hourlyRate"":100,""fixedRate"":525,""currency"":""CAD"",""notes"":null}","{""ST-000165"":50,""ST-000088"":50,""ST-000074"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1774910266/microrave/avatars/cjmmzmecltm7setfqn9j.png","3.73","698d204286a5af9808991620","44640","[""music"",""video""]","acct_1TKHPnCoAHsHT7Zs","[""Vendeur""]","[""ST-000165"",""ST-000088"",""ST-000074""]","69930d86ec2fa267c8e6a9be","2026-02-16T12:28:54.317000","2026-04-24T14:00:01.055000","698d204286a5af9808991620","false"
"acracrabe","","Chamaille la chenille","1NBZTIWK","10","[""RL-000028"",""RL-000024"",""RL-000011"",""RL-000010"",""RL-000008""]","[]","","0","0","[""NC-0000000148""]","4.5","","AJ95RKNW","","[""Explorer""]","","","698c747aee05acfdd23ea578","","4.5","6992452c5bcc41af3a3296fa","0","[""music""]","","","[""ST-000009"",""ST-000035"",""ST-000038"",""ST-000031""]","6992455e0d8b687433ede685","2026-02-15T22:14:54.651000","2026-04-02T13:59:37.727000","6992452c5bcc41af3a3296fa","false"
"Nicolas Gélin","","","1NBZTIWK","0","[""RL-000026""]","[]","","0","0","[""NC-0000000146""]","4.4","","KFKZ4JUR","","[]","","","698c747aee05acfdd23ea578","","4.4","699202024efb1897f4db4963","0","[""art""]","","","[""ST-000035"",""ST-000012"",""ST-000007""]","69920315bb44fc04366e59c5","2026-02-15T17:32:05.140000","2026-04-02T13:59:52.204000","699202024efb1897f4db4963","false"
"Frédérik Gélin","active","","","1200","[""RL-000008"",""RL-000010""]","[]","","0","0","[""NC-0000000069"",""NC-0000000150"",""NC-0000000146""]","3.74","","1NBZTIWK","","[""Explorer""]","{""hourlyRate"":125,""fixedRate"":550,""currency"":""CAD"",""notes"":null}","{""ST-000038"":50,""ST-000100"":50,""ST-000165"":50,""ST-000217"":50}","","https://res.cloudinary.com/dnp8eionl/image/upload/v1774991790/microrave/avatars/qtykn9reqal906ju4uys.jpg","3.71","698c747aee05acfdd23ea578","47250","[""music"",""video""]","acct_1TK44tCecGmADTy4","[""Vendeur""]","[""ST-000038"",""ST-000100"",""ST-000165"",""ST-000217""]","6991cece8a00c7e5a824aed6","2026-02-15T13:49:02.647000","2026-04-28T18:59:56.132000","698c747aee05acfdd23ea578","false"
"Reseau Micro Rave","active","Reseau ","","515","[""RL-000025"",""RL-000028"",""RL-000024"",""RL-000026"",""RL-000008"",""RL-000010"",""RL-000009""]","[]","","0","0","[""NC-0000000146"",""NC-0000000148"",""NC-0000000150"",""NC-0000000152""]","3.85","","","","[""Explorer""]","","{""ST-000032"":50,""ST-000009"":50,""ST-000013"":50,""ST-000007"":50,""ST-000219"":50,""ST-000155"":50}","","https://res.cloudinary.com/dnp8eionl/image/upload/v1774924779/microrave/avatars/nmfqbsrjxuebttziike2.png","3.8","698dbbf753d545317578c200","25140","[""humour"",""food"",""music"",""video"",""photo""]","acct_1TNu3uED1nXNICVC","[""Vendeur""]","[""ST-000032"",""ST-000009"",""ST-000013"",""ST-000007"",""ST-000219"",""ST-000155""]","6991c743ec888eb92561c942","2026-02-15T13:16:51.923000","2026-04-28T14:40:11.588000","698dbbf753d545317578c200","false"
"Fro U.F.","active","","1NBZTIWK","110","[""RL-000008""]","[]","","0","0","[""NC-0000000148""]","3.79","","MR42DRRJOS","","[""Explorer""]","","{""ST-000076"":50,""ST-000141"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1774925090/microrave/avatars/whcpxguymcetkfzby4nn.jpg","3.72","698dbd987dbcc355eec0ff7c","2620","[""music""]","acct_1TNv7hEPB5g9Afuu","[""Vendeur""]","[""ST-000076"",""ST-000141""]","6991c53d502ab6a5830de1ff","2026-02-15T13:08:13.030000","2026-04-22T12:26:39.064000","698dbd987dbcc355eec0ff7c","false"
"fro less","active","dj","1NBZTIWK","560","[""RL-000011"",""RL-000008""]","[]","","0","0","[""NC-0000000146"",""NC-0000000161"",""NC-0000000149"",""NC-0000000152"",""NC-0000000150"",""NC-0000000069"",""NC-0000000018"",""NC-0000000021""]","3.76","","8DQLGHP4","","[""Explorer""]","{""hourlyRate"":400,""fixedRate"":5000,""currency"":""CAD"",""notes"":null}","{""ST-000077"":50,""ST-000103"":50,""ST-000225"":50,""ST-000224"":50,""ST-000228"":50,""ST-000227"":50,""ST-000165"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1774925066/microrave/avatars/h8hlzayxusszvmeintsg.jpg","3.77","698dd1b2193c860027a3457a","17600","[""music""]","acct_1TNv1QEQxJkejRFm","[""Vendeur""]","[""ST-000077"",""ST-000103"",""ST-000225"",""ST-000224"",""ST-000228"",""ST-000227"",""ST-000165""]","6990ca04bbd4888783797d35","2026-02-14T19:16:20.276000","2026-04-24T01:18:27.288000","698dd1b2193c860027a3457a","false"
