vibe,coverImageUrl,timezone,arrondissement,geoLat,domainDominantKey,iconKey,type,geoLng,domainRanking,province,sotsRecent30Score,difficultyTier,totalVotes,domainKey,systemId,active,codePostal,sotsGlobalScore,styleTags,radiusKm,name,adresse,parentCheckpointId,pays,id,created_date,updated_date,created_by_id,is_sample
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/11084929_1571927413087812_1536789383_a_og5x1y.jpg","America/Toronto","Le Sud-Ouest","45.47287419929263","video","🍻","Bar","-73.58880143498752","[]","QC","0","","0","","NC-0000000056","true","","0","[]","0.1","BAR DE COURCELLE","4685 rue Notre-Dame O","","CA","69ce5852314e03da4ab945e9","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/657261178_18427979434191520_3982869341241935453_n_bmwmel.jpg","America/Toronto","Ville-Marie","45.49650830155794","","👠","Cabaret","-73.57672360429362","[]","QC","0","1","0","","NC-0000000303","true","","0","[]","0.1","Le Monastère","1439 rue Sainte-Catherine O","","CA","69ce5852314e03da4ab945f5","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/590429819_18547291318037457_2629474050368946052_n_ajamzg.jpg","America/Toronto","Ville-Marie","45.49785600426026","","🍻","Bar","-73.57741307178013","[]","QC","0","1","0","","NC-0000000111","true","H3G 2B6","0","[]","0.1","Électric Avenue","1476 Rue Crescent","","CA","69ce5852314e03da4ab94600","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Ville-Marie","45.499529137788294","","📺","Radio et télévision","-73.56499879080583","[]","QC","0","","0","","NC-0000000211","false","","0","[]","0.1","CHMP","800 rue De La Gauchetière O","","CA","69ce5852314e03da4ab94609","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/499047148_18062694491143023_6411126057472833330_n_ket9ju.jpg","America/Toronto","Ville-Marie","45.50029458170964","","🍻","Bar","-73.5758137780989","[]","QC","0","","0","","NC-0000000137","true","","0","[]","0.1","LA CANTINA","2022 rue Stanley","","CA","69ce5852314e03da4ab9460d","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Le Sud-Ouest","45.4822664432716","","🍻","Bar","-73.57650242060879","[]","QC","0","","0","","NC-0000000055","false","","0","[]","0.1","BAR DRINKERIE SAINT-CUNEGONDE INC.","2657 rue Notre-Dame O","","CA","69ce5852314e03da4ab945ec","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","","America/Toronto","Ville-Marie","45.49785128443681","","🍻","Bar","-73.57672654409099","[]","QC","0","1","0","","NC-0000000082","false","","0","[]","0.1","Jack saloon","1449 rue Crescent","","CA","69ce5852314e03da4ab945ff","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774990261/microrave/avatars/ygihcxosqxvazavixgnd.jpg","America/Toronto","Verdun","45.457002901177496","music","🍻","Bar","-73.5673587388238","[]","QC","0","","0","","NC-0000000050","true","H4G 1X4","0","[]","0.1","Verdun Beach","4828 rue Wellington","","CA","69ce5852314e03da4ab945de","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/53305639_378869216283294_1880822159522136064_n_imkg9y.jpg","America/Toronto","Le Sud-Ouest","45.48826652979577","music","🍻","Bar","-73.56843477206007","[]","QC","0","","0","","NC-0000000053","true","","0","[]","0.1","Le bird","1800 rue Notre-Dame O","","CA","69ce5852314e03da4ab945ee","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774922090/30076858_189898161793329_8620037691360149504_n_qkyzsi.jpg","America/Toronto","Côte-des-Neiges-Notre-Dame-de-Grâce","45.49755652871286","humour","🍻","Bar","-73.62245129506329","[{""weight"":0.5,""key"":""humour""},{""weight"":0.25,""key"":""music""},{""weight"":0.25,""key"":""video""}]","QC","0","","0","","NC-0000000058","true","","0","[]","0.1","BAR MAISONNEE","5385 avenue Gatineau","","CA","69ce5852314e03da4ab945fc","2026-04-02T11:51:46.974000","2026-04-20T14:45:50.525000","698c747aee05acfdd23ea578","false"
"underground","","America/Toronto","Ville-Marie","45.49792908254569","","🪩","Club","-73.57685249269306","[]","QC","0","1","0","","NC-0000000088","false","","0","[]","0.1","Karina club et lounge","1451 rue Crescent","","CA","69ce5852314e03da4ab94601","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
