rolePrefs,stylePrefs,domainAffinity,checkpointPrefs,userId,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"{}","{}","{""music"":0.5075,""humour"":0.502,""photo"":0.5,""video"":0.502,""food"":0.5,""art"":0.5,""responsable"":0.5}","{}","69a0f98dc601eab3812fc043","2026-03-29T01:44:47.695Z","69a0f9ca7933d864c4153e08","2026-02-27T01:56:26.370000","2026-03-29T01:44:47.988000","69a0f98dc601eab3812fc043","false"
"","","{""music"":0.508,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","","699e4f8fb5735859e7f35f38","2026-02-25T01:25:55.575Z","699e4f94e98a748213d9623f","2026-02-25T01:25:40.216000","2026-02-25T01:25:55.946000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","","{""music"":0.502,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","","699e4f8fb5735859e7f35f38","2026-02-25T01:25:39.863Z","699e4f9481b4ec518057e3db","2026-02-25T01:25:40.209000","2026-02-25T01:25:40.209000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"{""RL-000008"":{""active"":true}}","{""ST-000015"":{""active"":true,""weight"":50}}","{""music"":0.502,""humour"":0.502,""photo"":0.5,""video"":0.502,""food"":0.5,""art"":0.5,""responsable"":0.5}","","699cfc45fae147a8797a069c","2026-04-01T15:44:02.158Z","699cfc4a0f34749efb33342b","2026-02-24T01:18:02.269000","2026-04-01T15:44:02.536000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"{""RL-000008"":{""active"":true},""RL-000025"":{""active"":true}}","{""ST-000100"":{""active"":true,""weight"":50},""ST-000098"":{""active"":true,""weight"":50},""ST-000097"":{""active"":true,""weight"":50},""ST-000103"":{""active"":true,""weight"":50},""ST-000102"":{""active"":true,""weight"":50},""ST-000118"":{""active"":true,""weight"":50},""ST-000119"":{""active"":true,""weight"":50},""ST-000104"":{""active"":true,""weight"":50},""ST-000105"":{""active"":true,""weight"":50},""ST-000099"":{""active"":true,""weight"":50},""ST-000166"":{""active"":true,""weight"":50},""ST-000167"":{""active"":true,""weight"":50}}","{""music"":0.522,""humour"":0.502,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","{}","699c655e40e8dc98eacda675","2026-04-23T19:58:59.552Z","699c877c46abc47df4cca8e8","2026-02-23T16:59:40.231000","2026-04-23T19:59:01.347000","699c655e40e8dc98eacda675","false"
"","","{""music"":0.504,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","","699c655e40e8dc98eacda675","2026-02-23T16:59:21.103Z","699c6563cbe5e180ad11920b","2026-02-23T14:34:11.971000","2026-02-23T16:59:21.471000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","","{""music"":0.502,""humour"":0.502,""photo"":0.5,""video"":0.502,""food"":0.5,""art"":0.5,""responsable"":0.5}","","699c655e40e8dc98eacda675","2026-02-23T14:34:11.650Z","699c6563bd39f915efc263fe","2026-02-23T14:34:11.961000","2026-02-23T14:34:11.961000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","","{""music"":0.504,""humour"":0.502,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","","699c655e40e8dc98eacda675","2026-02-23T14:34:11.800Z","699c65631a00b859036a491f","2026-02-23T14:34:11.955000","2026-02-23T14:34:12.158000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","","{""music"":0.502,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","","699c655e40e8dc98eacda675","2026-02-23T14:34:11.650Z","699c656322ca18caed853ba5","2026-02-23T14:34:11.896000","2026-02-23T14:34:11.896000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"{}","{}","{""music"":0.502,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","{}","699ba360cbfe486faa5ab707","2026-02-23T00:49:25.204Z","699ba3bedcbff529bfa3e120","2026-02-23T00:47:58.616000","2026-02-23T00:49:25.446000","699ba360cbfe486faa5ab707","false"
"","","{""music"":0.52,""humour"":0.502,""photo"":0.5,""video"":0.502,""food"":0.5,""art"":0.5,""responsable"":0.5}","","699ba360cbfe486faa5ab707","2026-02-23T00:47:42.702Z","699ba38c8fd45c38c2c67d59","2026-02-23T00:47:08.481000","2026-02-23T00:47:44.054000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"{""RL-000011"":{""active"":true},""RL-000008"":{""active"":true}}","{""ST-000077"":{""active"":true,""weight"":50},""ST-000103"":{""active"":true,""weight"":50},""ST-000225"":{""active"":true,""weight"":50},""ST-000224"":{""active"":true,""weight"":50},""ST-000228"":{""active"":true,""weight"":50},""ST-000227"":{""active"":true,""weight"":50},""ST-000165"":{""active"":true,""weight"":50}}","{""music"":0.7965,""humour"":0.5574,""photo"":0.522,""video"":0.5893,""food"":0.524,""art"":0.506,""responsable"":0.508}","{""NC-0000000146"":{""active"":true}}","698dd1b2193c860027a3457a","2026-04-18T00:16:37.229Z","69930dcde020a9d85a15865a","2026-02-16T12:30:05.849000","2026-04-18T00:16:37.935000","698dd1b2193c860027a3457a","false"
"{""RL-000008"":{""active"":true},""RL-000010"":{""active"":true}}","{""ST-000165"":{""active"":true,""weight"":50},""ST-000088"":{""active"":true,""weight"":50},""ST-000074"":{""active"":true,""weight"":50}}","{""music"":0.7686,""humour"":0.5491,""photo"":0.5415,""video"":0.6128,""food"":0.522,""art"":0.512,""responsable"":0.5}","{""NC-0000000146"":{""active"":true}}","698d204286a5af9808991620","2026-04-24T11:34:50.017Z","69930d86019348a237bb272c","2026-02-16T12:28:54.518000","2026-04-24T11:34:52.682000","698d204286a5af9808991620","false"
"{""RL-000028"":{""active"":true},""RL-000024"":{""active"":true},""RL-000011"":{""active"":true},""RL-000010"":{""active"":true},""RL-000008"":{""active"":true}}","{""ST-000009"":{""active"":true},""ST-000035"":{""active"":true},""ST-000038"":{""active"":true},""ST-000031"":{""active"":true}}","{""music"":0.5437,""humour"":0.502,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","{""NC-0000000148"":{""active"":true}}","6992452c5bcc41af3a3296fa","2026-04-19T12:13:39.170Z","6992455e08a4b8920fa41a1f","2026-02-15T22:14:54.895000","2026-04-19T12:13:39.615000","6992452c5bcc41af3a3296fa","false"
"{""RL-000026"":{""active"":true}}","{""ST-000038"":{""active"":false},""ST-000035"":{""active"":true},""ST-000012"":{""active"":true,""weight"":80},""ST-000007"":{""active"":true,""weight"":70}}","","{""NC-0000000146"":{""active"":true}}","699202024efb1897f4db4963","","69920315c8ef8c63dbe04336","2026-02-15T17:32:05.307000","2026-02-15T17:32:25.369000","699202024efb1897f4db4963","false"
"{""RL-000026"":{""active"":true}}","{""ST-000035"":{""active"":true},""ST-000012"":{""active"":true,""weight"":100},""ST-000007"":{""active"":true,""weight"":80}}","","{""NC-0000000146"":{""active"":true}}","699202024efb1897f4db4963","","699202c404d5a6ebde1cf445","2026-02-15T17:30:44.576000","2026-02-15T17:31:19.332000","699202024efb1897f4db4963","false"
"{""RL-000025"":{""active"":true},""RL-000011"":{""active"":true},""RL-000008"":{""active"":true}}","{""ST-000032"":{""active"":true},""ST-000038"":{""active"":true}}","","{""NC-0000000146"":{""active"":true},""NC-0000000148"":{""active"":true}}","69910cb8413dc98603cf72df","","6991e815d21e6c17c302c3fa","2026-02-15T15:36:53.887000","2026-02-15T15:37:05.560000","69910cb8413dc98603cf72df","false"
"{""RL-000008"":{""active"":true},""RL-000010"":{""active"":true}}","{""ST-000038"":{""active"":true,""weight"":50},""ST-000100"":{""active"":true,""weight"":50},""ST-000165"":{""active"":true,""weight"":50},""ST-000217"":{""active"":true,""weight"":50}}","{""music"":1,""humour"":0.87,""photo"":0.5795,""video"":0.7933,""food"":0.5548,""art"":0.5511,""responsable"":0.5}","{""NC-0000000146"":{""active"":true}}","698c747aee05acfdd23ea578","2026-04-28T18:51:43.934Z","6991cece3b0f4e1860098bb6","2026-02-15T13:49:02.880000","2026-04-28T18:51:44.406000","698c747aee05acfdd23ea578","false"
"{""RL-000025"":{""active"":true},""RL-000028"":{""active"":true},""RL-000024"":{""active"":true},""RL-000026"":{""active"":true},""RL-000008"":{""active"":true},""RL-000010"":{""active"":true},""RL-000009"":{""active"":true}}","{""ST-000032"":{""active"":true,""weight"":50},""ST-000009"":{""active"":true,""weight"":50},""ST-000013"":{""active"":true,""weight"":50},""ST-000007"":{""active"":true,""weight"":50},""ST-000219"":{""active"":true,""weight"":50},""ST-000155"":{""active"":true,""weight"":50}}","{""music"":0.9855,""humour"":0.6891,""photo"":0.5379,""video"":0.6444,""food"":0.522,""art"":0.5393,""responsable"":0.5}","{""NC-0000000146"":{""active"":true},""NC-0000000148"":{""active"":true},""NC-0000000150"":{""active"":true}}","698dbbf753d545317578c200","2026-04-28T14:36:49.944Z","6991c7445c7fb893a4a7342e","2026-02-15T13:16:52.049000","2026-04-28T14:36:50.686000","698dbbf753d545317578c200","false"
